match_id,date,team_a,team_b,team_a_goals,team_b_goals,winner,is_draw,tournament,stage,city,country,venue,neutral,source,last_updated
1974-06-15-uruguay-netherlands,1974-06-15,Uruguay,Netherlands,0.0,2.0,Netherlands,False,,,,,,,kaggle_world_cup_historical,2026-07-05T21:50:39+00:00
1974-06-18-scotland-brazil,1974-06-18,Scotland,Brazil,0.0,0.0,Draw,True,,,,,,,kaggle_world_cup_historical,2026-07-05T21:50:39+00:00
1974-06-19-argentina-italy,1974-06-19,Argentina,Italy,1.0,1.0,Draw,True,,,,,,,kaggle_world_cup_historical,2026-07-05T21:50:39+00:00
1974-06-19-bulgaria-uruguay,1974-06-19,Bulgaria,Uruguay,1.0,1.0,Draw,True,,,,,,,kaggle_world_cup_historical,2026-07-05T21:50:39+00:00
1974-06-19-haiti-poland,1974-06-19,Haiti,Poland,0.0,7.0,Poland,False,,,,,,,kaggle_world_cup_historical,2026-07-05T21:50:39+00:00
1974-06-19-netherlands-sweden,1974-06-19,Netherlands,Sweden,0.0,0.0,Draw,True,,,,,,,kaggle_world_cup_historical,2026-07-05T21:50:39+00:00
1974-06-22-australia-chile,1974-06-22,Australia,Chile,0.0,0.0,Draw,True,,,,,,,kaggle_world_cup_historical,2026-07-05T21:50:39+00:00
1974-06-22-scotland-yugoslavia,1974-06-22,Scotland,Yugoslavia,1.0,1.0,Draw,True,,,,,,,kaggle_world_cup_historical,2026-07-05T21:50:39+00:00
1974-06-23-argentina-haiti,1974-06-23,Argentina,Haiti,4.0,1.0,Argentina,False,,,,,,,kaggle_world_cup_historical,2026-07-05T21:50:39+00:00
1974-06-23-bulgaria-netherlands,1974-06-23,Bulgaria,Netherlands,1.0,4.0,Netherlands,False,,,,,,,kaggle_world_cup_historical,2026-07-05T21:50:39+00:00
1974-06-23-poland-italy,1974-06-23,Poland,Italy,2.0,1.0,Poland,False,,,,,,,kaggle_world_cup_historical,2026-07-05T21:50:39+00:00
1974-06-23-sweden-uruguay,1974-06-23,Sweden,Uruguay,3.0,0.0,Sweden,False,,,,,,,kaggle_world_cup_historical,2026-07-05T21:50:39+00:00
1974-06-26-netherlands-argentina,1974-06-26,Netherlands,Argentina,4.0,0.0,Netherlands,False,,,,,,,kaggle_world_cup_historical,2026-07-05T21:50:39+00:00
1974-06-26-sweden-poland,1974-06-26,Sweden,Poland,0.0,1.0,Poland,False,,,,,,,kaggle_world_cup_historical,2026-07-05T21:50:39+00:00
1974-06-30-argentina-brazil,1974-06-30,Argentina,Brazil,1.0,2.0,Brazil,False,,,,,,,kaggle_world_cup_historical,2026-07-05T21:50:39+00:00
1974-06-30-poland-yugoslavia,1974-06-30,Poland,Yugoslavia,2.0,1.0,Poland,False,,,,,,,kaggle_world_cup_historical,2026-07-05T21:50:39+00:00
1974-07-03-netherlands-brazil,1974-07-03,Netherlands,Brazil,2.0,0.0,Netherlands,False,,,,,,,kaggle_world_cup_historical,2026-07-05T21:50:39+00:00
1974-07-03-sweden-yugoslavia,1974-07-03,Sweden,Yugoslavia,2.0,1.0,Sweden,False,,,,,,,kaggle_world_cup_historical,2026-07-05T21:50:39+00:00
1974-07-06-brazil-poland,1974-07-06,Brazil,Poland,0.0,1.0,Poland,False,,,,,,,kaggle_world_cup_historical,2026-07-05T21:50:39+00:00
1975-03-22-senegal-morocco-african-cup-of-nations-qualification,1975-03-22,Senegal,Morocco,2.0,1.0,Senegal,False,African Cup of Nations qualification,,Kaolack,Senegal,,False,kaggle_international_results,2026-07-05T21:50:39+00:00
1975-03-23-kenya-sudan-african-cup-of-nations-qualification,1975-03-23,Kenya,Sudan,0.0,2.0,Sudan,False,African Cup of Nations qualification,,Nairobi,Kenya,,False,kaggle_international_results,2026-07-05T21:50:39+00:00
1978-06-02-argentina-hungary,1978-06-02,Argentina,Hungary,2.0,1.0,Argentina,False,,,,,,,kaggle_world_cup_historical,2026-07-05T21:50:39+00:00
1978-06-02-italy-france,1978-06-02,Italy,France,2.0,1.0,Italy,False,,,,,,,kaggle_world_cup_historical,2026-07-05T21:50:39+00:00
1978-06-02-tunisia-mexico,1978-06-02,Tunisia,Mexico,3.0,1.0,Tunisia,False,,,,,,,kaggle_world_cup_historical,2026-07-05T21:50:39+00:00
1978-06-03-austria-spain,1978-06-03,Austria,Spain,2.0,1.0,Austria,False,,,,,,,kaggle_world_cup_historical,2026-07-05T21:50:39+00:00
1978-06-03-sweden-brazil,1978-06-03,Sweden,Brazil,1.0,1.0,Draw,True,,,,,,,kaggle_world_cup_historical,2026-07-05T21:50:39+00:00
1978-06-03-netherlands-iran,1978-06-03,Netherlands,Iran,3.0,0.0,Netherlands,False,,,,,,,kaggle_world_cup_historical,2026-07-05T21:50:39+00:00
1978-06-03-peru-scotland,1978-06-03,Peru,Scotland,3.0,1.0,Peru,False,,,,,,,kaggle_world_cup_historical,2026-07-05T21:50:39+00:00
