match_id,date,team_a,team_b,team_a_goals,team_b_goals,winner,is_draw,tournament,stage,city,country,venue,neutral,source,last_updated
1950-06-25-yugoslavia-switzerland,1950-06-25,Yugoslavia,Switzerland,3.0,0.0,Yugoslavia,False,,,,,,,kaggle_world_cup_historical,2026-07-05T21:50:39+00:00
1950-06-28-mexico-yugoslavia-fifa-world-cup,1950-06-28,Mexico,Yugoslavia,1.0,4.0,Yugoslavia,False,FIFA World Cup,,Porto Alegre,Brazil,,True,kaggle_international_results,2026-07-05T21:50:39+00:00
1950-06-28-yugoslavia-mexico,1950-06-28,Yugoslavia,Mexico,4.0,1.0,Yugoslavia,False,,,,,,,kaggle_world_cup_historical,2026-07-05T21:50:39+00:00
1950-06-29-chile-spain-fifa-world-cup,1950-06-29,Chile,Spain,0.0,2.0,Spain,False,FIFA World Cup,,Rio de Janeiro,Brazil,,True,kaggle_international_results,2026-07-05T21:50:39+00:00
1950-06-29-spain-chile,1950-06-29,Spain,Chile,2.0,0.0,Spain,False,,,,,,,kaggle_world_cup_historical,2026-07-05T21:50:39+00:00
1950-06-29-england-united-states-fifa-world-cup,1950-06-29,England,United States,0.0,1.0,United States,False,FIFA World Cup,,Belo Horizonte,Brazil,,True,kaggle_international_results,2026-07-05T21:50:39+00:00
1950-06-29-united-states-england,1950-06-29,United States,England,1.0,0.0,United States,False,,,,,,,kaggle_world_cup_historical,2026-07-05T21:50:39+00:00
1950-07-02-bolivia-uruguay-fifa-world-cup,1950-07-02,Bolivia,Uruguay,0.0,8.0,Uruguay,False,FIFA World Cup,,Belo Horizonte,Brazil,,True,kaggle_international_results,2026-07-05T21:50:39+00:00
1950-07-02-uruguay-bolivia,1950-07-02,Uruguay,Bolivia,8.0,0.0,Uruguay,False,,,,,,,kaggle_world_cup_historical,2026-07-05T21:50:39+00:00
1950-07-02-england-spain-fifa-world-cup,1950-07-02,England,Spain,0.0,1.0,Spain,False,FIFA World Cup,,Rio de Janeiro,Brazil,,True,kaggle_international_results,2026-07-05T21:50:39+00:00
1950-07-02-spain-england,1950-07-02,Spain,England,1.0,0.0,Spain,False,,,,,,,kaggle_world_cup_historical,2026-07-05T21:50:39+00:00
1950-07-02-mexico-switzerland-fifa-world-cup,1950-07-02,Mexico,Switzerland,1.0,2.0,Switzerland,False,FIFA World Cup,,Porto Alegre,Brazil,,True,kaggle_international_results,2026-07-05T21:50:39+00:00
1950-07-02-switzerland-mexico,1950-07-02,Switzerland,Mexico,2.0,1.0,Switzerland,False,,,,,,,kaggle_world_cup_historical,2026-07-05T21:50:39+00:00
1950-07-13-sweden-uruguay-fifa-world-cup,1950-07-13,Sweden,Uruguay,2.0,3.0,Uruguay,False,FIFA World Cup,,São Paulo,Brazil,,True,kaggle_international_results,2026-07-05T21:50:39+00:00
1950-07-13-uruguay-sweden,1950-07-13,Uruguay,Sweden,3.0,2.0,Uruguay,False,,,,,,,kaggle_world_cup_historical,2026-07-05T21:50:39+00:00
1950-07-16-brazil-uruguay-fifa-world-cup,1950-07-16,Brazil,Uruguay,1.0,2.0,Uruguay,False,FIFA World Cup,,Rio de Janeiro,Brazil,,False,kaggle_international_results,2026-07-05T21:50:39+00:00
1950-07-16-uruguay-brazil,1950-07-16,Uruguay,Brazil,2.0,1.0,Uruguay,False,,,,,,,kaggle_world_cup_historical,2026-07-05T21:50:39+00:00
