simulation_id,finalist_1,finalist_2,finalist_pair_key,champion,runner_up,semifinalists,fallback_mapping_used
186,Spain,Argentina,Argentina vs Spain,Spain,Argentina,,True
187,Spain,England,England vs Spain,Spain,England,,True
188,Spain,England,England vs Spain,Spain,England,,True
189,Spain,Argentina,Argentina vs Spain,Spain,Argentina,,True
190,Spain,England,England vs Spain,England,Spain,,True
191,Spain,Argentina,Argentina vs Spain,Argentina,Spain,,True
192,Spain,Argentina,Argentina vs Spain,Spain,Argentina,,True
193,Spain,England,England vs Spain,England,Spain,,True
194,Spain,Argentina,Argentina vs Spain,Argentina,Spain,,True
195,Spain,England,England vs Spain,England,Spain,,True
196,Spain,Argentina,Argentina vs Spain,Spain,Argentina,,True
197,Spain,Argentina,Argentina vs Spain,Argentina,Spain,,True
198,Spain,England,England vs Spain,Spain,England,,True
199,Spain,Argentina,Argentina vs Spain,Spain,Argentina,,True
200,Spain,Argentina,Argentina vs Spain,Spain,Argentina,,True
201,Spain,England,England vs Spain,England,Spain,,True
202,Spain,Argentina,Argentina vs Spain,Spain,Argentina,,True
203,Spain,Argentina,Argentina vs Spain,Argentina,Spain,,True
204,Spain,England,England vs Spain,England,Spain,,True
205,Spain,England,England vs Spain,England,Spain,,True
206,Spain,Argentina,Argentina vs Spain,Argentina,Spain,,True
207,Spain,England,England vs Spain,England,Spain,,True
208,Spain,England,England vs Spain,Spain,England,,True
209,Spain,England,England vs Spain,England,Spain,,True
210,Spain,England,England vs Spain,England,Spain,,True
211,Spain,Argentina,Argentina vs Spain,Spain,Argentina,,True
212,Spain,England,England vs Spain,Spain,England,,True
213,Spain,Argentina,Argentina vs Spain,Argentina,Spain,,True
214,Spain,England,England vs Spain,England,Spain,,True
215,Spain,England,England vs Spain,England,Spain,,True
216,Spain,Argentina,Argentina vs Spain,Argentina,Spain,,True
217,Spain,Argentina,Argentina vs Spain,Argentina,Spain,,True
218,Spain,England,England vs Spain,Spain,England,,True
219,Spain,England,England vs Spain,Spain,England,,True
220,Spain,Argentina,Argentina vs Spain,Argentina,Spain,,True
221,Spain,Argentina,Argentina vs Spain,Spain,Argentina,,True
222,Spain,Argentina,Argentina vs Spain,Spain,Argentina,,True
223,Spain,England,England vs Spain,England,Spain,,True
224,Spain,Argentina,Argentina vs Spain,Argentina,Spain,,True
225,Spain,England,England vs Spain,England,Spain,,True
226,Spain,England,England vs Spain,England,Spain,,True
227,Spain,Argentina,Argentina vs Spain,Spain,Argentina,,True
228,Spain,England,England vs Spain,Spain,England,,True
229,Spain,Argentina,Argentina vs Spain,Spain,Argentina,,True
230,Spain,Argentina,Argentina vs Spain,Argentina,Spain,,True
231,Spain,Argentina,Argentina vs Spain,Spain,Argentina,,True
232,Spain,Argentina,Argentina vs Spain,Spain,Argentina,,True
233,Spain,Argentina,Argentina vs Spain,Argentina,Spain,,True
234,Spain,Argentina,Argentina vs Spain,Argentina,Spain,,True
235,Spain,England,England vs Spain,Spain,England,,True
236,Spain,Argentina,Argentina vs Spain,Spain,Argentina,,True
237,Spain,England,England vs Spain,Spain,England,,True
238,Spain,England,England vs Spain,Spain,England,,True
239,Spain,Argentina,Argentina vs Spain,Argentina,Spain,,True
240,Spain,Argentina,Argentina vs Spain,Spain,Argentina,,True
241,Spain,Argentina,Argentina vs Spain,Spain,Argentina,,True
242,Spain,Argentina,Argentina vs Spain,Spain,Argentina,,True
243,Spain,England,England vs Spain,Spain,England,,True
244,Spain,Argentina,Argentina vs Spain,Spain,Argentina,,True
245,Spain,Argentina,Argentina vs Spain,Argentina,Spain,,True
