group,rank,team,team_id,played,wins,draws,losses,goals_for,goals_against,goal_difference,points,form,qualification_status,source,provider,last_updated
STAGE,96,Uruguay,758,1,0,1,0,1,1,0,1,,unknown,football_data_org,football_data_org,2026-07-10T06:51:00+00:00
STAGE,97,Cape Verde Islands,1930,1,0,1,0,0,0,0,1,,unknown,football_data_org,football_data_org,2026-07-10T06:51:00+00:00
STAGE,98,Paraguay,761,1,0,1,0,0,0,0,1,,unknown,football_data_org,football_data_org,2026-07-10T06:51:00+00:00
STAGE,99,Portugal,765,1,0,1,0,0,0,0,1,,unknown,football_data_org,football_data_org,2026-07-10T06:51:00+00:00
STAGE,100,Uruguay,758,2,0,1,1,2,3,-1,1,,unknown,football_data_org,football_data_org,2026-07-10T06:51:00+00:00
STAGE,101,Congo DR,1934,2,0,1,1,1,2,-1,1,,unknown,football_data_org,football_data_org,2026-07-10T06:51:00+00:00
STAGE,102,Ghana,763,2,0,1,1,1,2,-1,1,,unknown,football_data_org,football_data_org,2026-07-10T06:51:00+00:00
STAGE,103,Austria,816,2,0,1,1,3,5,-2,1,,unknown,football_data_org,football_data_org,2026-07-10T06:51:00+00:00
STAGE,104,South Africa,774,2,0,1,1,1,3,-2,1,,unknown,football_data_org,football_data_org,2026-07-10T06:51:00+00:00
STAGE,105,Australia,779,2,0,1,1,0,2,-2,1,,unknown,football_data_org,football_data_org,2026-07-10T06:51:00+00:00
STAGE,106,Bosnia-Herzegovina,1060,2,0,1,1,2,5,-3,1,,unknown,football_data_org,football_data_org,2026-07-10T06:51:00+00:00
STAGE,107,Czechia,798,2,0,1,1,1,4,-3,1,,unknown,football_data_org,football_data_org,2026-07-10T06:51:00+00:00
STAGE,108,Czechia,798,3,0,1,2,2,6,-4,1,"L,D,L",unknown,football_data_org,football_data_org,2026-07-10T06:51:00+00:00
STAGE,109,Sweden,792,2,0,1,1,2,6,-4,1,,unknown,football_data_org,football_data_org,2026-07-10T06:51:00+00:00
STAGE,110,Saudi Arabia,801,2,0,1,1,0,4,-4,1,,unknown,football_data_org,football_data_org,2026-07-10T06:51:00+00:00
STAGE,111,New Zealand,783,3,0,1,2,4,10,-6,1,"L,L,D",unknown,football_data_org,football_data_org,2026-07-10T06:51:00+00:00
STAGE,112,Curaçao,9460,2,0,1,1,1,7,-6,1,,unknown,football_data_org,football_data_org,2026-07-10T06:51:00+00:00
STAGE,113,Qatar,8030,3,0,1,2,2,10,-8,1,"L,L,D",unknown,football_data_org,football_data_org,2026-07-10T06:51:00+00:00
STAGE,114,Curaçao,9460,3,0,1,2,1,9,-8,1,"L,D,L",unknown,football_data_org,football_data_org,2026-07-10T06:51:00+00:00
STAGE,115,United States,771,1,0,0,1,2,3,-1,0,,unknown,football_data_org,football_data_org,2026-07-10T06:51:00+00:00
STAGE,116,Canada,828,1,0,0,1,1,2,-1,0,,unknown,football_data_org,football_data_org,2026-07-10T06:51:00+00:00
STAGE,117,Czechia,798,1,0,0,1,1,2,-1,0,,unknown,football_data_org,football_data_org,2026-07-10T06:51:00+00:00
STAGE,118,Germany,759,1,0,0,1,1,2,-1,0,,unknown,football_data_org,football_data_org,2026-07-10T06:51:00+00:00
STAGE,119,Ecuador,791,1,0,0,1,0,1,-1,0,,unknown,football_data_org,football_data_org,2026-07-10T06:51:00+00:00
STAGE,120,Haiti,836,1,0,0,1,0,1,-1,0,,unknown,football_data_org,football_data_org,2026-07-10T06:51:00+00:00
STAGE,121,Panama,1836,1,0,0,1,0,1,-1,0,,unknown,football_data_org,football_data_org,2026-07-10T06:51:00+00:00
STAGE,122,Jordan,8049,1,0,0,1,1,3,-2,0,,unknown,football_data_org,football_data_org,2026-07-10T06:51:00+00:00
STAGE,123,Uzbekistan,8070,1,0,0,1,1,3,-2,0,,unknown,football_data_org,football_data_org,2026-07-10T06:51:00+00:00
STAGE,124,Curaçao,9460,1,0,0,1,0,2,-2,0,,unknown,football_data_org,football_data_org,2026-07-10T06:51:00+00:00
