group,rank,team,team_id,played,wins,draws,losses,goals_for,goals_against,goal_difference,points,form,qualification_status,source,provider,last_updated
GROUP_STAGE,7,Canada,828,2,1,1,0,7,1,6,4,,7,football_data_org,football_data_org,2026-07-20T06:04:10+00:00
GROUP_STAGE,8,Portugal,765,2,1,1,0,6,1,5,4,,8,football_data_org,football_data_org,2026-07-20T06:04:10+00:00
GROUP_STAGE,9,Netherlands,8601,2,1,1,0,7,3,4,4,,9,football_data_org,football_data_org,2026-07-20T06:04:10+00:00
GROUP_STAGE,10,Spain,760,2,1,1,0,4,0,4,4,,10,football_data_org,football_data_org,2026-07-20T06:04:10+00:00
GROUP_STAGE,11,Brazil,764,2,1,1,0,4,1,3,4,,11,football_data_org,football_data_org,2026-07-20T06:04:10+00:00
GROUP_STAGE,12,England,770,2,1,1,0,4,2,2,4,,12,football_data_org,football_data_org,2026-07-20T06:04:10+00:00
GROUP_STAGE,13,Ecuador,791,2,1,1,0,2,1,1,4,,13,football_data_org,football_data_org,2026-07-20T06:04:10+00:00
GROUP_STAGE,14,Colombia,818,2,1,1,0,1,0,1,4,,14,football_data_org,football_data_org,2026-07-20T06:04:10+00:00
GROUP_STAGE,15,Senegal,804,1,1,0,0,5,0,5,3,,15,football_data_org,football_data_org,2026-07-20T06:04:10+00:00
GROUP_STAGE,16,Sweden,792,1,1,0,0,5,1,4,3,,16,football_data_org,football_data_org,2026-07-20T06:04:10+00:00
GROUP_STAGE,17,Morocco,815,1,1,0,0,4,2,2,3,,17,football_data_org,football_data_org,2026-07-20T06:04:10+00:00
GROUP_STAGE,18,Bosnia-Herzegovina,1060,1,1,0,0,3,1,2,3,,18,football_data_org,football_data_org,2026-07-20T06:04:10+00:00
GROUP_STAGE,19,Austria,816,1,1,0,0,3,1,2,3,,19,football_data_org,football_data_org,2026-07-20T06:04:10+00:00
GROUP_STAGE,20,Congo DR,1934,1,1,0,0,3,1,2,3,,20,football_data_org,football_data_org,2026-07-20T06:04:10+00:00
GROUP_STAGE,21,Australia,779,1,1,0,0,2,0,2,3,,21,football_data_org,football_data_org,2026-07-20T06:04:10+00:00
GROUP_STAGE,22,South Korea,772,1,1,0,0,2,1,1,3,,22,football_data_org,football_data_org,2026-07-20T06:04:10+00:00
GROUP_STAGE,23,Croatia,799,1,1,0,0,2,1,1,3,,23,football_data_org,football_data_org,2026-07-20T06:04:10+00:00
GROUP_STAGE,24,South Africa,774,1,1,0,0,1,0,1,3,,24,football_data_org,football_data_org,2026-07-20T06:04:10+00:00
GROUP_STAGE,25,Ivory Coast,1935,1,1,0,0,1,0,1,3,,25,football_data_org,football_data_org,2026-07-20T06:04:10+00:00
GROUP_STAGE,26,Ghana,763,1,1,0,0,1,0,1,3,,26,football_data_org,football_data_org,2026-07-20T06:04:10+00:00
GROUP_STAGE,27,Turkey,803,2,1,0,1,3,3,0,3,,27,football_data_org,football_data_org,2026-07-20T06:04:10+00:00
GROUP_STAGE,28,Norway,8872,2,1,0,1,4,6,-2,3,,28,football_data_org,football_data_org,2026-07-20T06:04:10+00:00
GROUP_STAGE,29,Belgium,805,2,0,2,0,1,1,0,2,,29,football_data_org,football_data_org,2026-07-20T06:04:10+00:00
GROUP_STAGE,30,Algeria,778,1,0,1,0,3,3,0,1,,30,football_data_org,football_data_org,2026-07-20T06:04:10+00:00
GROUP_STAGE,31,Iran,840,1,0,1,0,2,2,0,1,,31,football_data_org,football_data_org,2026-07-20T06:04:10+00:00
GROUP_STAGE,32,Qatar,8030,1,0,1,0,1,1,0,1,,32,football_data_org,football_data_org,2026-07-20T06:04:10+00:00
GROUP_STAGE,33,Japan,766,1,0,1,0,1,1,0,1,,33,football_data_org,football_data_org,2026-07-20T06:04:10+00:00
GROUP_STAGE,34,Egypt,825,1,0,1,0,1,1,0,1,,34,football_data_org,football_data_org,2026-07-20T06:04:10+00:00
GROUP_STAGE,35,Saudi Arabia,801,1,0,1,0,1,1,0,1,,35,football_data_org,football_data_org,2026-07-20T06:04:10+00:00
GROUP_STAGE,36,Paraguay,761,1,0,1,0,0,0,0,1,,36,football_data_org,football_data_org,2026-07-20T06:04:10+00:00
GROUP_STAGE,37,Cape Verde Islands,1930,1,0,1,0,0,0,0,1,,37,football_data_org,football_data_org,2026-07-20T06:04:10+00:00
GROUP_STAGE,38,Uruguay,758,2,0,1,1,2,3,-1,1,,38,football_data_org,football_data_org,2026-07-20T06:04:10+00:00
GROUP_STAGE,39,Czechia,798,2,0,1,1,1,4,-3,1,,39,football_data_org,football_data_org,2026-07-20T06:04:10+00:00
GROUP_STAGE,40,Haiti,836,1,0,0,1,0,1,-1,0,,40,football_data_org,football_data_org,2026-07-20T06:04:10+00:00
GROUP_STAGE,41,Uzbekistan,8070,1,0,0,1,1,3,-2,0,,41,football_data_org,football_data_org,2026-07-20T06:04:10+00:00
GROUP_STAGE,42,Curaçao,9460,1,0,0,1,0,2,-2,0,,42,football_data_org,football_data_org,2026-07-20T06:04:10+00:00
GROUP_STAGE,43,Jordan,8049,2,0,0,2,2,5,-3,0,,43,football_data_org,football_data_org,2026-07-20T06:04:10+00:00
GROUP_STAGE,44,Iraq,8062,1,0,0,1,1,4,-3,0,,44,football_data_org,football_data_org,2026-07-20T06:04:10+00:00
GROUP_STAGE,45,Panama,1836,2,0,0,2,0,3,-3,0,,45,football_data_org,football_data_org,2026-07-20T06:04:10+00:00
GROUP_STAGE,46,Scotland,8873,2,0,0,2,0,4,-4,0,,46,football_data_org,football_data_org,2026-07-20T06:04:10+00:00
GROUP_STAGE,47,New Zealand,783,2,0,0,2,2,8,-6,0,,47,football_data_org,football_data_org,2026-07-20T06:04:10+00:00
GROUP_STAGE,48,Tunisia,802,2,0,0,2,1,7,-6,0,,48,football_data_org,football_data_org,2026-07-20T06:04:10+00:00
