match_id,stage,team_a,team_b,result_label,simulation_id,match_slot,winner,loser,probability_source
16.0,Group Stage,Iran,New Zealand,team_a_win,4,,,,
17.0,Group Stage,France,Senegal,team_a_win,4,,,,
19.0,Group Stage,Argentina,Algeria,team_a_win,4,,,,
20.0,Group Stage,Austria,Jordan,team_a_win,4,,,,
22.0,Group Stage,England,Croatia,team_a_win,4,,,,
23.0,Group Stage,Ghana,Panama,team_a_win,4,,,,
24.0,Group Stage,Uzbekistan,Colombia,team_a_loss,4,,,,
27.0,Group Stage,Canada,Qatar,team_a_win,4,,,,
28.0,Group Stage,Mexico,South Korea,team_a_win,4,,,,
29.0,Group Stage,United States,Australia,team_a_loss,4,,,,
30.0,Group Stage,Scotland,Morocco,draw,4,,,,
31.0,Group Stage,Brazil,Haiti,team_a_win,4,,,,
34.0,Group Stage,Germany,Ivory Coast,team_a_loss,4,,,,
35.0,Group Stage,Ecuador,Curaçao,team_a_win,4,,,,
36.0,Group Stage,Tunisia,Japan,team_a_win,4,,,,
37.0,Group Stage,Spain,Saudi Arabia,team_a_win,4,,,,
38.0,Group Stage,Belgium,Iran,team_a_win,4,,,,
40.0,Group Stage,New Zealand,Egypt,team_a_loss,4,,,,
41.0,Group Stage,Argentina,Austria,team_a_win,4,,,,
43.0,Group Stage,Norway,Senegal,team_a_win,4,,,,
44.0,Group Stage,Jordan,Algeria,draw,4,,,,
45.0,Group Stage,Portugal,Uzbekistan,draw,4,,,,
46.0,Group Stage,England,Ghana,team_a_win,4,,,,
47.0,Group Stage,Panama,Croatia,team_a_win,4,,,,
49.0,Group Stage,Switzerland,Canada,draw,4,,,,
51.0,Group Stage,Scotland,Brazil,team_a_win,4,,,,
52.0,Group Stage,Morocco,Haiti,draw,4,,,,
54.0,Group Stage,South Africa,South Korea,team_a_win,4,,,,
55.0,Group Stage,Curaçao,Ivory Coast,draw,4,,,,
56.0,Group Stage,Ecuador,Germany,draw,4,,,,
58.0,Group Stage,Tunisia,Netherlands,team_a_loss,4,,,,
60.0,Group Stage,Paraguay,Australia,team_a_win,4,,,,
61.0,Group Stage,Norway,France,team_a_loss,4,,,,
64.0,Group Stage,Uruguay,Spain,team_a_loss,4,,,,
65.0,Group Stage,Egypt,Iran,team_a_loss,4,,,,
66.0,Group Stage,New Zealand,Belgium,team_a_loss,4,,,,
67.0,Group Stage,Panama,England,team_a_loss,4,,,,
68.0,Group Stage,Croatia,Ghana,team_a_win,4,,,,
69.0,Group Stage,Colombia,Portugal,team_a_win,4,,,,
71.0,Group Stage,Algeria,Austria,team_a_loss,4,,,,
72.0,Group Stage,Jordan,Argentina,team_a_loss,4,,,,
,Round of 32,Mexico,Switzerland,team_a_loss,4,R32_M1,Switzerland,Mexico,elo_fallback
,Round of 32,Morocco,United States,team_a_loss,4,R32_M2,United States,Morocco,elo_fallback
,Round of 32,Ivory Coast,Tunisia,team_a_loss,4,R32_M3,Tunisia,Ivory Coast,elo_fallback
,Round of 32,Belgium,Saudi Arabia,team_a_win,4,R32_M4,Belgium,Saudi Arabia,elo_fallback
,Round of 32,France,Austria,team_a_win,4,R32_M5,France,Austria,elo_fallback
,Round of 32,Colombia,Croatia,team_a_win,4,R32_M6,Colombia,Croatia,elo_fallback
,Round of 32,Canada,South Africa,team_a_win,4,R32_M7,Canada,South Africa,elo_fallback
,Round of 32,Paraguay,Scotland,team_a_win,4,R32_M8,Paraguay,Scotland,elo_fallback
,Round of 32,Netherlands,Ecuador,team_a_win,4,R32_M9,Netherlands,Ecuador,elo_fallback
,Round of 32,Spain,Iran,team_a_win,4,R32_M10,Spain,Iran,elo_fallback
,Round of 32,Argentina,Norway,team_a_win,4,R32_M11,Argentina,Norway,elo_fallback
,Round of 32,England,Portugal,team_a_win,4,R32_M12,England,Portugal,elo_fallback
,Round of 32,Haiti,Cabo Verde,team_a_loss,4,R32_M13,Cabo Verde,Haiti,elo_fallback
,Round of 32,Germany,Jordan,team_a_win,4,R32_M14,Germany,Jordan,elo_fallback
,Round of 32,Australia,Uzbekistan,team_a_win,4,R32_M15,Australia,Uzbekistan,elo_fallback
,Round of 32,Egypt,Panama,team_a_win,4,R32_M16,Egypt,Panama,elo_fallback
,Round of 16,Switzerland,United States,team_a_win,4,R16_M1,Switzerland,United States,elo_fallback
,Round of 16,Tunisia,Belgium,team_a_loss,4,R16_M2,Belgium,Tunisia,elo_fallback
,Round of 16,France,Colombia,team_a_win,4,R16_M3,France,Colombia,elo_fallback
,Round of 16,Canada,Paraguay,team_a_win,4,R16_M4,Canada,Paraguay,elo_fallback
,Round of 16,Netherlands,Spain,team_a_loss,4,R16_M5,Spain,Netherlands,elo_fallback
